Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
27516,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209820,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,45000
27517,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209234,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,45000
27518,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209235,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,45000
27519,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207491,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27520,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207492,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27521,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207495,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27522,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207554,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27523,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207555,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27524,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207557,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27525,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207490,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27526,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207551,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27527,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207570,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27528,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207898,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27529,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/209846,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
27530,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209310,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,45000
27531,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/209825,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),12-Mar-26,ARJUN KUMAR SAH,Payment Success,60000
