"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4917","Normal/Others","WS/MP874/2024-2025/106908-Construction of roads, link roads, pathways or any other road with or without drainage system","Delhi","Anoopgarh(DISTRICT COLLECTOR Anoopgarh_IDA)","Construction work of CC block road from village 27 A asphalt road to Govt Sr. Sec School, 28 A, Subdistrict - Anoopgarh, District Sriganganagar/ Anoopgarh","Shri Mahesh Jethmalani (2021-24) (NaN-NaN)","Elected MP","Images","04-Feb-2026","598821"
"4918","Normal/Others","WS/MP193/2023-2024/50133-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Muradnagar Sibli Industrial Area ki gali no. 3 mai Vishal Singhal ke Plot ke barabar mai 8 foot chodi 120 foot lambi nali ke sath Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","265767"
"4919","Normal/Others","WS/MP193/2023-2024/37598-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1. Ward 80 Shalimar Garden Ext-2 mai Makan No. 59 se Makan No. A 132 tak Bayi Patri par Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","875493"
"4920","Normal/Others","WS/MP164/2023-2024/35086-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing Cement Road at Kalladikuppam Panchayat","Shri C. Ve. Shanmugam (2022-26) (NaN-NaN)","Elected MP","Images","30-Nov-2024","249669"
"4921","Normal/Others","WS/MP193/2023-2024/37711-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Ward 80 Shalimar Garden Ext 2 mai Makan no 59 se Makan no A137 tak Dayi Patri par Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","759265"
"4922","Normal/Others","WS/MP193/2023-2024/37658-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Swarn Jayanti Puram mai Makan no. 26B se Makan No. 13B tak Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","478973"
"4923","Normal/Others","WS/MP193/2023-2024/37600-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Raj Nagar Ext. ki Palm Rejorty Society ke Main Gate ke Samne ki Boundary Wall ke ek Chor se Dusre Chor ki taraf 140 meter lambai mai Setrvice Lane ki Kali Sadak ka Nirman","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","859552"
"4924","Normal/Others","WS/MP845/2023-2024/35744-Installing tube-wells and borewells","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","New Borewell, Mini power pump and Mini tank at Villpuram chendur village Community center","Dr. Anbumani Ramadoss (2019-25) (NaN-NaN)","Elected MP","Images","13-Mar-2025","249247"
"4925","Normal/Others","WS/MP164/2023-2024/35105-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing Cement Road at Mettu Street in Irumbuli Panchayat","Shri C. Ve. Shanmugam (2022-26) (NaN-NaN)","Elected MP","Images","30-Nov-2024","249693"
"4926","Normal/Others","WS/MP164/2023-2024/35107-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing Cement Road at Koil Street in Nangyananthal Panchayat","Shri C. Ve. Shanmugam (2022-26) (NaN-NaN)","Elected MP","Images","30-Nov-2024","249569"
"4927","Normal/Others","WS/MP164/2023-2024/35063-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing Cement Road at Rettanai Panchayat","Shri C. Ve. Shanmugam (2022-26) (NaN-NaN)","Elected MP","Images","13-Mar-2025","249831"
"4928","Normal/Others","WS/MP043/2023-2024/100143-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Construction of PCC Road from Sri Navin Kumar's Rice Meel to Sri. Anil Mahto's Land (350 Feet Road and 2 culvert)","Shri Ahmad Ashfaque Karim (2018-24) (NaN-NaN)","Elected MP","Images","10-Jul-2024","1386236"
"4929","Normal/Others","WS/MP150/2023-2024/10956-Development of public parks","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","gram pancholi m public works","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","N/A","29-Jul-2024","250000"
"4930","Normal/Others","WS/MP845/2024-2025/73971-Street lights","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Procurement and supply of Highmast light at Kottagoundampatty panchayat office near.","Dr. Anbumani Ramadoss (2019-25) (NaN-NaN)","Elected MP","N/A","10-Jul-2024","1000000"
"4931","Normal/Others","WS/MP221/2023-2024/5800-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Construction of Concrete Road","Shri P. Bhattacharya (2017-23) (NaN-NaN)","Elected MP","Images","13-Aug-2026","174825"
"4932","Normal/Others","WS/MP874/2024-2025/128185-Development of playfields and sports grounds","Delhi","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Development of PlaygroundGovt. Inter College Kyari, Village- Kyari, Tehsil- Dhanolti, District- Tehri Garhwal, Uttarakhand","Shri Mahesh Jethmalani (2021-24) (NaN-NaN)","Elected MP","Images","22-Jan-2025","498500"
"4933","Normal/Others","WS/MP874/2024-2025/128184-Construction of culverts and bridges","Delhi","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Construction of CulvertGabdwala nala, VillageMoldhar, TehsilDhanolti, District- Tehri Garhwal, Uttarakhand","Shri Mahesh Jethmalani (2021-24) (NaN-NaN)","Elected MP","Images","22-Jan-2025","500000"
"4934","Normal/Others","WS/MP069/2024-2025/61954-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Construction of flood protection wall around Desai Samaj crematorium.","Shri Shaktisinh Gohil (2020-26) (NaN-NaN)","Elected MP","Images","05-Aug-2025","200000"
"4935","Normal/Others","WS/MP221/2023-2024/8121-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Protection Work by E.C. Bullah Piling from Haridasmati Jal Prakalpa towards Bharat Sebashram Training Center at Haridasmati GP under Berhampore Block, Murshidabad.","Shri P. Bhattacharya (2017-23) (NaN-NaN)","Elected MP","Images","12-Jul-2024","291365"
