"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP193/2023-2024/1252-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Shamli me Rajvahe wali Kali Sadak se Giri Raj Ke Khet Tak CC Road","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","24-Feb-2024","832774"
"2","Normal/Others","WS/MP193/2023-2024/1254-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Shamli Mai Ramesh Ke Tubewell ke pas Rajwahe wali sadak tak Nali and CC Road","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","13-Feb-2024","994268"
"3","Normal/Others","WS/MP193/2023-2024/1255-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Ujeda block Muradnagar mai Krishnpal Kai Makan Se Harindar Ke Makan Tak Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","675918"
"4","Normal/Others","WS/MP193/2023-2024/1257-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Ujeda Mai Dhanpal ke makan sai Roshan kai Ghair tak and Liyakat Ke Makan Se Jamil Ke Makan Tak Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Aug-2024","534375"
"5","Normal/Others","WS/MP193/2023-2024/1253-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Shamli Me Ompal Ke Khet Ke Pass Rajvahe wali kali sadak ki ore Moran / Ajaipal Ke Khet Tak CC rOad","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","13-Feb-2024","851615"
"6","Normal/Others","WS/MP193/2023-2024/2312-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Mahmoodpur mai Deviram Ke Makan Se Bhagat Singh ke Makan Tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","20-Dec-2023","1067288"
"7","Normal/Others","WS/MP193/2023-2024/2313-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Gram Khanpur mai Shri Ram Ke Khet Se Selak Pradhan Ke Khet Tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","776189"
"8","Normal/Others","WS/MP193/2023-2024/2314-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Khanpur mai Durga Mandir Se Satpal Ke Makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","912512"
"9","Normal/Others","WS/MP193/2023-2024/2315-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Daya Chand Ke Makan Se Subash Ke Makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","890710"
"10","Normal/Others","WS/MP193/2023-2024/2316-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Ome ke makan se Peetam Ke makan tak Nali and Interlocking","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","917059"
"11","Normal/Others","WS/MP193/2023-2024/2317-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya me Raju Ke makan se  Bishambhar Ke makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","858151"
"12","Normal/Others","WS/MP193/2023-2024/2318-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Garhi Kataiya mai Rakme Ki Bethak Se Fundan Besla Ke makan Tak Nali and Interlocking Tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","21-Oct-2023","918647"
"13","Normal/Others","WS/MP193/2023-2024/2319-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Mahmoodpur mai Satpal ke makan se Sarkari Tube well tak Nali and Interlocking tiles","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","20-Dec-2023","1400153"
"14","Normal/Others","WS/MP023/2023-2024/7361-Installing community drinking water plants","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing 1000 LPH RO Water plant at Bodugundapalli (V) Munneli GP B.Kodur (M) (310)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","29-Aug-2023","224998"
"15","Normal/Others","WS/MP076/2023-2024/1804-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","One water tanker for gram panchyat Chikanwas Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","150000"
"16","Normal/Others","WS/MP023/2023-2024/7362-Installing community drinking water plants","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Provide 1000 Ltrs RO Water plant near by Dargha at Ambarpet and Itrampet Panchayat of B.Kodur Mandal.(290)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","17-Aug-2023","249977"
"17","Normal/Others","WS/MP174/2023-2024/11205-Development of playground","Sikkim","Mangan(DISTRICT COLLECTOR MANGAN_IDA)","Construction of Artificial Turf five side ground at Mangan Senior Secoundry School, North sikkim","Shri Hishey Lachungpa (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2024","1799927"
"18","Normal/Others","WS/MP174/2023-2024/11204-Purchase of sports equipment","Sikkim","Mangan(DISTRICT COLLECTOR MANGAN_IDA)","Purchase of Paragliding equipments for the unemployed youth members of lachung Paragliding Association, North sikkim","Shri Hishey Lachungpa (2018-24) (NaN-NaN)","Elected MP","N/A","01-Sep-2023","998000"
"19","Normal/Others","WS/MP150/2023-2024/3019-Installing hand pumps","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","???????? ???? ????? ?? ?? ???? ???? ????? ?????","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","Images","23-Aug-2023","26383"
"20","Normal/Others","WS/MP150/2023-2024/10461-Installing hand pumps","Rajasthan","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","Goswami ki dhani me hand pump","Dr. Kirodi Lal Meena (2018-23) (NaN-NaN)","Elected MP","Images","25-Aug-2023","26383"
"21","Normal/Others","WS/MP169/2023-2024/1235-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC Road from Vangala Pulla Reddy (H) to Bathula Gandhi Reddy (H) at Thogarrai Village, Kodad Mandal","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","Images","26-Aug-2023","500000"
"22","Normal/Others","WS/MP169/2023-2024/1236-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC Road from Bodrai to Govt. High School at Thogarrai Village, Kodad Mandal","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","11-Sep-2023","500000"
"23","Normal/Others","WS/MP023/2023-2024/7360-Installing tube-wells and borewells","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing Borewell and motor for RO water plant near Hamidbukhani house, Habeebulla Street, 32 Division of Kadapa(179)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","N/A","29-Aug-2023","149682"
"24","Normal/Others","WS/MP023/2023-2024/7363-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Construction of CC Road from Dr.No.37/49-367 to SC Colony road 12th Division Pakkerpalli Krishnadevaraya Colony Kadapa MC (312)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","30-Aug-2023","422000"
"25","Normal/Others","WS/MP023/2023-2024/7364-Construction of culverts and bridges","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing of CC Culvert and Gravel Road near Door No.38/5893 at Rajaji Nagar of Kadapa Municipal Corporation.          (321)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","N/A","30-Aug-2023",""
"26","Normal/Others","WS/MP023/2023-2024/7365-Construction of culverts and bridges","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing of CC Culvert and Gravel Road near Venkata Ramana Colony at Rajaji Nagar of Kadapa Municipal Corporation. (322)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","30-Aug-2023","248285"
"27","Normal/Others","WS/MP177/2023-2024/4619-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","RETAINING WALL CONSTRUCTION NEAR ANAND FARM FOR THE APPROACH ROAD FROM PATRA TOLI TO TURI LODAM","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","01-Mar-2024","1994600"
"28","Normal/Others","WS/MP177/2023-2024/4618-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","CONSTRUCTION OF ROAD RETAINING WALL FROM SARITOLI TO GOTHAN ACCESS","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","13-Mar-2024","1995000"
"29","Normal/Others","WS/MP070/2023-2024/7160-Purchase of immovable sports equipment","Gujarat","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","???? ???????? ??????? ??????/???????????? ?????(??????? ?????????? ?????? ????) ???? ??????? ?????","Smt. Ramilaben Becharbhai Bara (2020-26) (NaN-NaN)","Elected MP","Images","15-Sep-2023",""
"30","Normal/Others","WS/MP193/2023-2024/506-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Hindu Maha Sabha Karyalay Se Ram Bhawan Makan No 136-92 tak CC Road","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2025","1264588"
"31","Normal/Others","WS/MP193/2023-2024/505-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sunita Chandra Ke Makan se Rajesh Srivastav ke makan tak Damrikaran","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2025","1843734"
"32","Normal/Others","WS/MP193/2023-2024/509-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Hata Laxman Das me CC Road and Nali","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2025","637707"
"33","Normal/Others","WS/MP193/2023-2024/508-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Mahesh Yadav ke makan ke samne se Nageshwar Mandir hote huae aage pani ki tanki tak CC Road and Nali","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2025","474588"
"34","Normal/Others","WS/MP193/2023-2024/507-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Pragya Park se Asthana Ji Ke Makan Ki Ore CC Road and Nali","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Jan-2025","973045"
"35","Normal/Others","WS/MP023/2023-2024/7359-Installing community drinking water plants","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing 1000 LPH RO water plant near Hamidbukhari House, Haneebulla Street, 32 Division (152) Kadapa.","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","01-Sep-2023","450000"
"36","Normal/Others","WS/MP023/2023-2024/7357-Installing community drinking water plants","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing RO Plant at Agraharam Village of Simhadripuram Mandal. (324)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","02-Sep-2023","499912"
"37","Normal/Others","WS/MP169/2023-2024/1224-Construction of public libraries and reading rooms","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Completion of Incomeplete Reading Room at Mattapally","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","02-Sep-2023","499398"
"38","Normal/Others","WS/MP169/2023-2024/1231-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC road From Gudala Rama Rao(H) to Kodi Nagaraju (H) at Thellabelli (V)","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","20-Feb-2026","500000"
"39","Normal/Others","WS/MP169/2023-2024/1232-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC Road from Reddeboina Pichamma (H) at Thellabelli Village, Nadigudem Mandal","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","20-Feb-2026","500000"
"40","Normal/Others","WS/MP169/2023-2024/1233-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC Road from Kodi Nagaraju (H) to Jakkula Gopi (H)  at Thellabelli Village, Nadigudem Mandal.","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","20-Feb-2026","500000"
"41","Normal/Others","WS/MP042/2023-2024/6623-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??? ???? ????? ??.-09/13 ????0 ?????? ??????? ?? ??? ?? ????? ??????? ???? ?? ?????? ???? ??? ??.??. ???????? ?? ??? ??? ????? ??? ?? ???? ??????? ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1415773"
"42","Normal/Others","WS/MP042/2023-2024/6332-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","1-	????? ??? ???? ????? ??0-11 ??? ???????? ??? ?? ?????????? ?? ?????? ?? ?? ?? ???? ??? ???? ???0 ?????? ?? ???? ?? ???? ??? ??0??0??0 ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1494129"
"43","Normal/Others","WS/MP042/2023-2024/6625-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","??????? ?????? ???????? ??????? ?????? ?? ??????? ??? ??? ???? ?? ?? ?? ??? ??? ?? ?? ?? ?? ???????? ??? ??? ?????? ??? ??.??.??. ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","30-Nov-2023","1495474"
"44","Normal/Others","WS/MP042/2023-2024/6624-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","??????? ?????? ???????? ??????? ?????? ?? ??????? ??? ???? ????? ?? ?? ?? ?????? ???? ?? ?? ?? ?????? ??? ??.??.??. ?????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","30-Nov-2023","1495301"
"45","Normal/Others","WS/MP177/2023-2024/1652-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Construction of C.C.Road (Ward No. 11)","Shri K.T.S. Tulsi (2020-26) (NaN-NaN)","Elected MP","Images","06-Jun-2024","1500000"
"46","Normal/Others","WS/MP023/2023-2024/14925-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Construction of Drains & CC Road from N-09-32 to 329 of Rukavanipalli 50th Division Kadapa MC (314)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","13-Sep-2023","249928"
"47","Normal/Others","WS/MP023/2023-2024/14921-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Construction of Janaza room to Burial ground at Kothapalli Village of Proddatur Mandal. (282)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","13-Sep-2023","499351"
"48","Normal/Others","WS/MP023/2023-2024/14940-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing of CC Culvert and Gravel Road near Door No.38/5893 at Rajaji Nagar of Kadapa Municipal Corporation.          (321)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","14-Sep-2023","246836"
"49","Normal/Others","WS/MP042/2023-2024/7264-Construction of boundary walls of existing public and community buildings","Bihar","SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA)","????? ??????????? ???? ?????? ?? ???????? ??? ???? ???????? ???? ????? ?? ?????????? ??????? ??????","Prof. Manoj Kumar Jha (2018-24) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","1491866"
"50","Normal/Others","WS/MP169/2023-2024/1230-Construction of community centers and community halls","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Construct of Community Hall at Srinivasapuram Village","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","20-Feb-2026","500000"
"51","Normal/Others","WS/MP169/2023-2024/1223-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Laying of CC Road from Grne Ramaiah (H)  to Vallamshetla Raja Shekar (H) in Ward No. 15 Nereducharla Municipality","Shri B. Lingaiah Yadav (2018-24) (NaN-NaN)","Elected MP","N/A","20-Feb-2026","500000"
"52","Normal/Others","WS/MP023/2023-2024/7859-Construction of community centers and community halls","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Construction of Community Hall at Rameswaram near Muniswamy Temple, Somulavaripalli Panchayt Proddatur (332)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","02-Apr-2024","3893696"
"53","Normal/Others","WS/MP023/2023-2024/7860-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Providing of CC roads in Nagulapalli village of Chapadu Mandal (333)","Dr. C.M. Ramesh (2018-24) (NaN-NaN)","Elected MP","Images","14-Dec-2023","999737"
"54","Normal/Others","WS/MP193/2023-2024/2417-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hirdaypur Bhandola Primary School / Panchayat Ghar at Public Place Contact Person -Shri Pankaj Tyagi- 9557569694","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","218586"
"55","Normal/Others","WS/MP193/2023-2024/2412-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at B 250 Panchwati Colony 30 Foota Road at Public Place Contact Person -Shri Raj Kumar - 9818470859","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","219619"
"56","Normal/Others","WS/MP193/2023-2024/2414-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at D 243 Swarn Jayanti Puram at Public Place Contact Person -Shri Vivek Choudhary- 9891959573","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","220069"
"57","Normal/Others","WS/MP193/2023-2024/2418-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hirdaypur Bhandola Shiv Mandir Wale Chorahe par at Public Place Contact Person -Shri Pankaj Tyagi- 9557569694","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","Images","06-Nov-2023","215486"
"58","Normal/Others","WS/MP193/2023-2024/2413-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hans Automobiles C-82 Indrapuri Loni at Public Place Contact Person -9873632807","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","17-Nov-2023","220306"
"59","Normal/Others","WS/MP193/2023-2024/2416-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Sec-3 Chiranjeev Vihar near Rama Paints at Public Place Contact Person -Shri Devendra Vishnoi- 9810152684","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","222033"
"60","Normal/Others","WS/MP193/2023-2024/2415-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Sec-3 Chiranjeev Vihar Central Park at Public Place Contact Person -Shri Devendra Vishnoi- 9810152684","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","220552"
"61","Normal/Others","WS/MP193/2023-2024/2625-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hirdaypur Bhandola Anil Ki Dukan Wale Chorahe par at Public Place Contact Person -Shri Pankaj Tyagi- 9557569694","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","217517"
"62","Normal/Others","WS/MP193/2023-2024/2626-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hirdaypur Bhandola Swastya Up Kendra Pani Ki Tanki Ke Paas at Public Place Contact Person -Shri Pankaj Tyagi- 9557569694","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","222199"
"63","Normal/Others","WS/MP193/2023-2024/2627-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light at Hirdaypur Bhandola Ambedkar Park mai at Public Place Contact Person -Shri Pankaj Tyagi- 9557569694","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","223060"
"64","Normal/Others","WS/MP193/2023-2024/2663-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Surya Park Banke Bihari Mandir  RWA Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","220757"
"65","Normal/Others","WS/MP193/2023-2024/2664-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Laxmi Narayan Mandir RWA Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","221035"
"66","Normal/Others","WS/MP193/2023-2024/2665-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Saahid Sthal 80 Foota Road Vyapari Market RWA Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","10-Nov-2023","216763"
"67","Normal/Others","WS/MP193/2023-2024/2666-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Shiva Compound Sahid Nagar Main Choraha Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","223755"
"68","Normal/Others","WS/MP193/2023-2024/2667-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Shiva Compound Sahid Nagar Main Market Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","224271"
"69","Normal/Others","WS/MP193/2023-2024/2668-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Sri Ram Mandir Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","221172"
"70","Normal/Others","WS/MP193/2023-2024/2672-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Purva Parsad Sardar Singh Bhati Office Chowk Contact Person- Ravi Bhati-9971660071hibabad","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","221515"
"71","Normal/Others","WS/MP193/2023-2024/2669-Lighting of public spaces","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","1 High Mast LED Light At Shalimar Garden Sahibabad Gauri Shankar Mandir Contact Person- Ravi Bhati-9971660071","Dr. Anil Agrawal (2018-24) (NaN-NaN)","Elected MP","N/A","08-Dec-2023","219104"
