"Sr. No.","Calamity Type","Calamity Name","Hon'ble Members of Parliament","Date of Consent","Consent Amount ( ₹ )"
"1","National Calamity","Flood 2025 in Punjab","Shri Narhari Amin (2020-26) (2020-2026)","03-Oct-2025","2500000"
"Grand Total"," "," "," "," ","25,00,000"
