"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"2","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/213626","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","09-Apr-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"3","Odisha","Construction of rooms and halls in school and colleges","WS/MP136/2023-2024/37608","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","03-Sep-2026","BIRENDRA KUMAR MEHER","Payment In-Progress","368136"
"4","Uttarakhand","Providing supply pipelines for drinking water","WS/EXRS042/2026-2027/234990","CHAMPAWAT(DISTRICT MAGISTRATE CHAMPAWAT_IDA)","Shri Mahendra Singh Mahra (2012-18) (2012-2018)","Elected MP","17-Aug-2026","BDO Lohaghat","Payment In-Progress","35065"
"5","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP154/2023-2024/21876","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","04-Nov-2023","SUN ENTERPRISES","Payment In-Progress","225000"
"6","Rajasthan","Construction of public libraries and reading rooms","WS/MP236/2023-2024/12215","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Neeraj Dangi (2020-26) (2020-2026)","Elected MP","05-Sep-2026","SWAROOP TRADING COMPANY","Payment In-Progress","48974"
"7","Himachal Pradesh","Construction of public libraries and reading rooms","WS/MP080/2024-2025/109752","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Shri Jagat Prakash Nadda (2018-24) (2018-2024)","Elected MP","07-Apr-2026","BDO BAIJNATH MPLAD Rajya Sabha","Payment In-Progress","200000"
"8","Madhya Pradesh","Construction of community centers and community halls","WS/MP010/2025-2026/210882","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Dr. Sumer Singh Solanki (2020-26) (2020-2026)","Elected MP","19-Dec-2025","cmobistan","Payment In-Progress","250000"
"9","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18409/2025-2026/165732","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","Shri Debashish Samantaray (2024-30) (2024-2026)","Elected MP","12-Nov-2025","TAHASILDAR PAPADAHANDI","Payment In-Progress","40210"
"10","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP232/2026-2027/155034","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Digvijaya Singh (2020-26) (2020-2026)","Elected MP","23-Jul-2026","RAO MPPKVVCL JABALPUR","Payment In-Progress","295617"
"11","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP008/2023-2024/97534","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","Shri Dharmendra Pradhan (2018-24) (2018-2024)","Elected MP","24-Aug-2026","RAMPURA CHAKALDI  NS","Payment In-Progress","400000"
"12","Andhra Pradesh","Construction of community centers and community halls","WS/MP031/2023-2024/14626","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Masthan Rao Yadav Beedha (2022-24) (2022-2024)","Elected MP","05-Sep-2026","K RAMESH BABU","Payment In-Progress","4900000"
"13","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Shri Balaji Construction","Payment In-Progress","324748"
"14","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6491","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Shri Balaji Construction","Payment In-Progress","184968"
"15","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP160/2023-2024/41004","KALLAKURICHI(District Collector Kallakurichi_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","16-May-2025","RAVICHANDRAN","Payment In-Progress","1"
"16","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP194/2023-2024/53493","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","29-Jul-2025","DUDA","Payment In-Progress","45076"
"17","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP191/2023-2024/33544","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Sakaldeep Rajbhar (2018-24) (2018-2024)","Elected MP","06-Nov-2024","Parmatma Brick Field","Payment In-Progress","75212"
"18","Karnataka","Providing drains and gutters for public drainage","WS/MP093/2023-2024/91191","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","15-Nov-2024","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","125000"
"19","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","EMF","Payment In-Progress","320"
"20","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP179/2023-2024/36696","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Ashok Bajpai (2018-24) (2018-2024)","Elected MP","21-Jul-2026","Vijay Traders","Payment In-Progress","494500"
"21","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP836/2023-2024/66867","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","19-May-2026","LATE DR KUBERSINGH MAHAVIDHYALAYA","Payment In-Progress","111018"
"22","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP049/2025-2026/262059","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Ram Nath Thakur (2020-26) (2020-2026)","Elected MP","04-Sep-2026","SUNITA KUMARI","Payment In-Progress","1494482"
"23","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6491","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Khand vikas adhari","Payment In-Progress","22929"
"24","Uttar Pradesh","Construction of community centers and community halls","WS/MP194/2023-2024/53490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","04-Nov-2025","PRAHLAD ENTERPRISES","Payment In-Progress","794980"
"25","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP194/2023-2024/53493","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Jain (2018-24) (2018-2024)","Elected MP","29-Jul-2025","PRAHLAD ENTERPRISES","Payment In-Progress","364087"
"26","Chhattisgarh","Construction of public staircase/ stair ghat for public convenience","WS/MP175/2023-2024/115302","KORBA(Collector-Korba)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","15-May-2025","GRAM PANCHAYAT RENKI","Payment In-Progress","498871"
"27","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/181480","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","01-Sep-2026","RAVIKUMAR B G","Payment In-Progress","164601"
"28","Haryana","Construction of boundary walls of existing public and community buildings","WS/MP076/2025-2026/87520","JIND(DEPUTY COMMISSIONER JIND)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","20-Aug-2026","The Navdeep Co op L C Society Limited","Payment In-Progress","487363"
"29","Gujarat","Purchase of ambulances (Four, three and two wheelers)","WS/MP063/2023-2024/9129","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Jugalsinh Lokhandwala (2019-23) (2019-2023)","Elected MP","28-May-2025","TATA MOTORS","Payment In-Progress","1791148"
"30","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP160/2026-2027/271348","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","02-Sep-2026","PINNACLE INDIA TRADERS","Payment In-Progress","1300000"
"31","Madhya Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP105/2023-2024/24453","MORENA(DISTRICT COLLECTOR MORENA_IDA)","Shri Rajmani Patel (2018-24) (2018-2024)","Elected MP","02-Sep-2026","Gram Panchayat Urhera","Payment In-Progress","249000"
"32","Uttar Pradesh","Construction of community centers and community halls","WS/MP193/2023-2024/6490","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","21-Jun-2026","Khand vikas adhari","Payment In-Progress","40720"
"33","Maharashtra","Construction of community centers and community halls","WS/MP110/2024-2025/136895","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Dr. Fauzia Khan (2020-26) (2020-2026)","Elected MP","04-Sep-2026","NRUSINH MAGASWARGIYA DAGADKAMAM  VA  M MAJUR SAHAKARI SAMSTHA","Payment In-Progress","1999710"
"34","Karnataka","Construction of community centers and community halls","WS/MP089/2023-2024/91147","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","02-Sep-2026","MOHAN KUMAR D B","Payment In-Progress","99960"
"35","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP075/2023-2024/73313","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","Shri Deepender Singh Hooda (2020-24) (2020-2024)","Elected MP","03-Sep-2026","VANSH COOP L AND C SOC DIKADLA","Payment In-Progress","589435"
"36","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP093/2026-2027/246126","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","06-Aug-2026","Gireesha M S","Payment In-Progress","499511"
"37","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP093/2026-2027/246128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","06-Aug-2026","Gireesha M S","Payment In-Progress","499511"
"38","West Bengal","Installing tube-wells and borewells","WS/MP214/2024-2025/4460","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Sukhendu Sekhar Ray (2017-23) (2017-2023)","Elected MP","12-Sep-2025","M G CONSTRUCTION POLY GHOSH","Payment In-Progress","200000"
"39","Karnataka","Construction of community centers and community halls","WS/MP089/2026-2027/76013","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","03-Sep-2026","HEMANTHKUMAR B P","Payment In-Progress","375000"
"40","Tamil Nadu","Construction of additional rooms and halls in the existing public and community building","WS/MP160/2025-2026/176931","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","03-Sep-2026","R Rajachidambaram","Payment In-Progress","384996"
"41","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP069/2025-2026/245036","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","19-Aug-2026","SAVAINAGAR SAVAIKOT GRAM PANCHAYAT","Payment In-Progress","50000"
"42","Gujarat","Construction of bus-sheds or bus-stops","WS/MP067/2025-2026/192089","PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA)","Shri Mokariya Rambhai (2021-26) (2021-2026)","Elected MP","31-Aug-2026","Mitrala Gram Panchayat","Payment In-Progress","293559"
"43","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP069/2026-2027/271600","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","02-Sep-2026","UCHAIYA GRAM PANCHAYAT","Payment In-Progress","500000"
"44","Maharashtra","Providing drains and gutters for public drainage","WS/MP110/2025-2026/208825","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Dr. Fauzia Khan (2020-26) (2020-2026)","Elected MP","03-Sep-2026","AMOL BHAGWANRAO TARE","Payment In-Progress","1399986"
"45","Karnataka","Providing drains and gutters for public drainage","WS/MP089/2025-2026/205170","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","07-May-2026","PROJECT MANAGER NIRMITHI KENDRA MANDYA","Payment In-Progress","125000"
"46","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP069/2025-2026/198985","CHHOTAUDEPUR(DISTRICT COLLECTOR CHHOTA UDEPUR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","24-Jul-2026","MOTI AMROL GRAM PANCHAYAT","Payment In-Progress","450000"
"47","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP069/2025-2026/216746","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","25-Feb-2026","SHRI UMARALA GRAM PANCHAYAT","Payment In-Progress","490000"
"48","Odisha","Construction of community centers and community halls","WS/MP133/2024-2025/74644","BALANGIR(DISTRICT COLLECTOR BOLANGIR_IDA)","Shri Niranjan Bishi (2022-26) (2022-2026)","Elected MP","03-Sep-2026","ROHIT BARIHA","Payment In-Progress","227095"
"49","Chhattisgarh","Street lights","WS/MP175/2024-2025/107272","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT ROJHI","Payment In-Progress","260000"
"50","Chhattisgarh","Street lights","WS/MP175/2024-2025/107273","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT SONHARI","Payment In-Progress","260000"
"51","West Bengal","Construction of rooms and halls in school and colleges","WS/MP208/2025-2026/195374","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Shri Bikash Ranjan Bhattacharyya (2020-26) (2020-2026)","Elected MP","03-Sep-2026","Betal Enterpise","Payment In-Progress","1417743"
"52","Chhattisgarh","Street lights","WS/MP175/2024-2025/105808","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT THAGGAON","Payment In-Progress","257911"
"53","Chhattisgarh","Street lights","WS/MP175/2024-2025/105804","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BODEMUDA","Payment In-Progress","259216"
"54","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/107866","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2021-24) (2021-2024)","Elected MP","24-Jul-2026","JOHNY JOSEPH","Payment In-Progress","454359"
"55","Gujarat","Fitting of Sitting RCC Benches in Public Places","WS/MP069/2025-2026/176999","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","Shri Shaktisinh Gohil (2020-26) (2020-2026)","Elected MP","21-Aug-2026","PIPARALI GRAM PANCHAYAT","Payment In-Progress","60000"
"56","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18417/2026-2027/203030","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Mamata Mohanta (2024-26) (2024-2026)","Elected MP","05-Sep-2026","BDO SARASKANA MAMATA MOHANTA","Payment In-Progress","8014"
"57","Karnataka","Construction of rooms and halls in school and colleges","WS/MP093/2025-2026/222856","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","01-Sep-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1125000"
"58","Karnataka","Construction of rooms and halls in school and colleges","WS/MP090/2026-2027/240959","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","1875000"
"59","Chhattisgarh","Street lights","WS/MP175/2024-2025/105797","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT MANGORA","Payment In-Progress","258483"
"60","Chhattisgarh","Street lights","WS/MP175/2024-2025/105796","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT KATKONA","Payment In-Progress","258868"
"61","Chhattisgarh","Street lights","WS/MP175/2024-2025/105798","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT FHUNGA","Payment In-Progress","259597"
"62","Chhattisgarh","Street lights","WS/MP175/2024-2025/105799","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT SALKA","Payment In-Progress","258611"
"63","Chhattisgarh","Street lights","WS/MP175/2024-2025/105800","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BARDAR","Payment In-Progress","258460"
"64","Chhattisgarh","Street lights","WS/MP175/2024-2025/105803","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BARDAR","Payment In-Progress","259216"
"65","Chhattisgarh","Street lights","WS/MP175/2024-2025/105801","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT JARONDHA","Payment In-Progress","258822"
"66","Chhattisgarh","Street lights","WS/MP175/2024-2025/105805","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT KODA","Payment In-Progress","259215"
"67","Chhattisgarh","Street lights","WS/MP175/2024-2025/105806","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT SHIVPUR","Payment In-Progress","259215"
"68","Chhattisgarh","Street lights","WS/MP175/2024-2025/105807","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BELBAHRA","Payment In-Progress","257433"
"69","Chhattisgarh","Street lights","WS/MP175/2024-2025/105812","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BELBAHRA","Payment In-Progress","258243"
"70","Chhattisgarh","Street lights","WS/MP175/2024-2025/105809","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT DUGGI","Payment In-Progress","258670"
"71","Chhattisgarh","Street lights","WS/MP175/2024-2025/105811","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYT BARAMPUR","Payment In-Progress","259426"
"72","Chhattisgarh","Street lights","WS/MP175/2024-2025/105810","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT RATANPUR","Payment In-Progress","259403"
"73","Chhattisgarh","Street lights","WS/MP175/2024-2025/105813","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT BELKAMAR","Payment In-Progress","259426"
"74","Chhattisgarh","Street lights","WS/MP175/2024-2025/105814","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","09-Oct-2025","GRAM PANCHAYAT CHHOTEKALUA","Payment In-Progress","259216"
"75","Chhattisgarh","Street lights","WS/MP175/2024-2025/107258","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT TARTABAHRA","Payment In-Progress","260000"
"76","Chhattisgarh","Street lights","WS/MP175/2024-2025/107254","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT TARTABAHRA","Payment In-Progress","260000"
"77","Chhattisgarh","Street lights","WS/MP175/2024-2025/107267","Manendragarh-Chirmiri-Bharatpur(M C B)(Collector MCB_IDA)","Ms. Saroj Pandey (2018-24) (2018-2024)","Elected MP","08-Oct-2025","GRAM PANCHAYAT BAHI","Payment In-Progress","260000"
"78","Himachal Pradesh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP079/2025-2026/263091","Khairagarh-Chhuikhadan-Gandai(District Collector Khairagarh_IDA)","Ms. Indu Bala Goswami (2020-26) (2020-2026)","Elected MP","02-Sep-2026","RIYA ENTERPRISES","Payment In-Progress","1243350"
"79","Assam","Construction of rooms and halls in school and colleges","WS/MP074/2025-2026/122921","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Sarbananda Sonowal (2021-24) (2021-2024)","Elected MP","17-Jul-2026","MS CP CONSTRUCTION","Payment In-Progress","836742"
"80","Karnataka","Construction of rooms and halls in school and colleges","WS/MP089/2025-2026/195050","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","27-May-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","375000"
"81","Karnataka","Construction of rooms and halls in school and colleges","WS/MP090/2026-2027/240962","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Iranna Kadadi (2020-26) (2020-2026)","Elected MP","22-Jun-2026","TUMKUR NIRMITHI KENDRA","Payment In-Progress","1875000"
"82","Karnataka","Construction of community centers and community halls","WS/MP089/2025-2026/181497","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","Shri H.D. Devegowda (2020-26) (2020-2026)","Elected MP","02-Sep-2026","H N GANGADHAR","Payment In-Progress","84474"
"83","Haryana","Construction of community centers and community halls","WS/MP077/2023-2024/29506","SONIPAT(DEPUTY COMMISSIONER SONEPAT_IDA)","Shri Ram Chander Jangra (2020-26) (2020-2026)","Elected MP","26-Aug-2026","D M CONSTRUCTION COMPANY","Payment In-Progress","23337"
"84","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217480","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","05-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"85","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217496","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"86","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217497","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"87","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217498","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"88","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/218388","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","03-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"89","Jharkhand","Construction of public irrigation facilities","WS/MP083/2025-2026/217390","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","05-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"90","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP083/2025-2026/217386","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","05-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","251000"
"91","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217506","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","05-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"92","Jharkhand","Installing hand pumps","WS/MP083/2025-2026/217505","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","Shri Shibu Soren (2020-25) (2020-2025)","Elected MP","05-Sep-2026","MS AFROZ TRADERS","Payment In-Progress","80000"
"93","Delhi","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP874/2024-2025/106823","Anoopgarh(DISTRICT COLLECTOR Anoopgarh_IDA)","Shri Mahesh Jethmalani (2021-24) (2021-2024)","Nominated MP","25-Mar-2026","SHRI GURU JAMBHESHWAR CONSTRUCTION COMPANY","Payment In-Progress","500000"
