"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP193/2023-2024/505-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Dr. Sunita Chandra Ke Makan se Rajesh Srivastav ke makan tak Damrikaran","01-Jun-2023","1843734","03-Jul-2023"
"2","Normal/Others","WS/MP193/2023-2024/506-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Hindu Maha Sabha Karyalay Se Ram Bhawan Makan No 136-92 tak CC Road","01-Jun-2023","1264588","03-Jul-2023"
"3","Normal/Others","WS/MP193/2023-2024/507-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Pragya Park se Asthana Ji Ke Makan Ki Ore CC Road and Nali","01-Jun-2023","973045","03-Jul-2023"
"4","Normal/Others","WS/MP193/2023-2024/508-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Mahesh Yadav ke makan ke samne se Nageshwar Mandir hote huae aage pani ki tanki tak CC Road and Nali","01-Jun-2023","474588","03-Jul-2023"
"5","Normal/Others","WS/MP193/2023-2024/509-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Hata Laxman Das me CC Road and Nali","01-Jun-2023","637707","03-Jul-2023"
"6","Normal/Others","WS/MP169/2023-2024/1221-Construction of community centers and community halls","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","construction of dining hall and other infrastructure facilities to community hall at durajpally","15-Jun-2023","2496913","16-Mar-2024"
"7","Normal/Others","WS/MP169/2023-2024/1222-Construction of community centers and community halls","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Construction of Community Hall at Ward No. 13 Near Lingamanthula Swamy Temple at Kodad Town","15-Jun-2023","1000000","16-Mar-2024"
"8","Normal/Others","WS/MP169/2023-2024/1223-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC Road from Grne Ramaiah (H)  to Vallamshetla Raja Shekar (H) in Ward No. 15 Nereducharla Municipality","15-Jun-2023","500000","14-Sep-2023"
"9","Normal/Others","WS/MP169/2023-2024/1224-Construction of public libraries and reading rooms","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Completion of Incomeplete Reading Room at Mattapally","15-Jun-2023","499398","02-Sep-2023"
"10","Normal/Others","WS/MP169/2023-2024/1225-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road from Mudigonda Veera Swamy (H) to Savar Lachamma temple in Thallasingaram Village","15-Jun-2023","499995","05-Aug-2023"
"11","Normal/Others","WS/MP169/2023-2024/1226-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road from Vallamalla Bhaskar (H) to Vallamalla Sanjeeva (H) in Thallasingaram","15-Jun-2023","499920","02-Feb-2024"
"12","Normal/Others","WS/MP169/2023-2024/1227-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road from Gilakathula Ramulu (H) to Maddi Srinu (H) in Thallasingaram","15-Jun-2023","499627","02-Feb-2024"
"13","Normal/Others","WS/MP169/2023-2024/1228-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road from Ramasani Malla Reddy (H) to Yellala Lingaiah (H) in Chilpakuntla (V)","15-Jun-2023","499331","02-Feb-2024"
"14","Normal/Others","WS/MP169/2023-2024/1229-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road from Gundaboina Kavitha(H) to Ragi Veerabadraiah (H) in Ward No.14 of Suryapet Municipality","15-Jun-2023","499879","26-Sep-2023"
"15","Normal/Others","WS/MP169/2023-2024/1230-Construction of community centers and community halls","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Construct of Community Hall at Srinivasapuram Village","15-Jun-2023","500000","14-Sep-2023"
"16","Normal/Others","WS/MP169/2023-2024/1231-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC road From Gudala Rama Rao(H) to Kodi Nagaraju (H) at Thellabelli (V)","15-Jun-2023","500000","08-Sep-2023"
"17","Normal/Others","WS/MP169/2023-2024/1232-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC Road from Reddeboina Pichamma (H) at Thellabelli Village, Nadigudem Mandal","15-Jun-2023","500000","08-Sep-2023"
"18","Normal/Others","WS/MP169/2023-2024/1233-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC Road from Kodi Nagaraju (H) to Jakkula Gopi (H)  at Thellabelli Village, Nadigudem Mandal.","15-Jun-2023","500000","08-Sep-2023"
"19","Normal/Others","WS/MP169/2023-2024/1234-Construction of additional rooms and halls in the existing public and community building","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Construction of additional Room at Fire Station, Suryapet  Town","15-Jun-2023","497691","16-Mar-2024"
"20","Normal/Others","WS/MP169/2023-2024/1235-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC Road from Vangala Pulla Reddy (H) to Bathula Gandhi Reddy (H) at Thogarrai Village, Kodad Mandal","15-Jun-2023","500000","24-Aug-2023"
"21","Normal/Others","WS/MP169/2023-2024/1236-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","SURYAPET(DISTRICT COLLECTOR SURYAPET)","Shri B. Lingaiah Yadav (2018-24) (2018-2024)","Elected MP","Laying of CC Road from Bodrai to Govt. High School at Thogarrai Village, Kodad Mandal","15-Jun-2023","500000","24-Aug-2023"
"22","Normal/Others","WS/MP221/2024-2025/1248-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Box Culvert (3 m X 3 M) - 6 Nos. near Peulaguri newly Primary School at Peulaguri under Bara Atiabari-I GP, Dinhata-I Panchayat Samity, P.O.G Atiabari, P.S. Dinhata Coochbeha","16-Jun-2023","5162106","29-Jan-2025"
"23","Normal/Others","WS/MP221/2023-2024/1249-Providing CCTV camera system for security of public areas","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Installation of Surveillance Security System / CCTV at the Kendriya Vidyalaya, KENDRIYA VIDYALAYA COMMAND HOSPITAL, (An autonomous body under Ministry of Education, Govt. of India), Alipore","16-Jun-2023","956537","02-Jan-2024"
"24","Normal/Others","WS/MP221/2023-2024/1250-Construction of community centers and community halls","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Community Hall at Kalipur Vivekananda Samity, Kalipur, PS – Suri, Block-Suri-I, Dag No. 867/1011, J. L. No. 105, Khatian No. 125/25, Mouja-Kalipur, District-Birbhum","16-Jun-2023","505204","19-Sep-2023"
"25","Normal/Others","WS/MP221/2023-2024/1251-Construction of public toilets and bathrooms","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Toilet Block with running water facilities at Nandakumarpur High School (H.S.), PO – Nandakumarpur, Block-Mathurapur-II             PS–Raidighi, Pin–743349 District-S 24 Prgs","16-Jun-2023","900000","30-Nov-2023"
"26","Normal/Others","WS/MP193/2023-2024/1252-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Gram Shamli me Rajvahe wali Kali Sadak se Giri Raj Ke Khet Tak CC Road","16-Jun-2023","832774","27-Jun-2023"
"27","Normal/Others","WS/MP193/2023-2024/1253-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Gram Shamli Me Ompal Ke Khet Ke Pass Rajvahe wali kali sadak ki ore Moran / Ajaipal Ke Khet Tak CC rOad","16-Jun-2023","851615","27-Jun-2023"
"28","Normal/Others","WS/MP193/2023-2024/1254-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Shamli Mai Ramesh Ke Tubewell ke pas Rajwahe wali sadak tak Nali and CC Road","16-Jun-2023","994268","27-Jun-2023"
"29","Normal/Others","WS/MP193/2023-2024/1255-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Gram Ujeda block Muradnagar mai Krishnpal Kai Makan Se Harindar Ke Makan Tak Interlocking Tiles","16-Jun-2023","675918","27-Jun-2023"
"30","Normal/Others","WS/MP193/2023-2024/1257-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","Dr. Anil Agrawal (2018-24) (2018-2024)","Elected MP","Gram Ujeda Mai Dhanpal ke makan sai Roshan kai Ghair tak and Liyakat Ke Makan Se Jamil Ke Makan Tak Interlocking Tiles","16-Jun-2023","534375","27-Jun-2023"
"31","Normal/Others","WS/MP221/2024-2025/1258-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of CC road from MH-31 to Towards SSK 1st 400 mtr at Bhujiapani sansad under Upper Bagdogra Gram Panchayat, Bagdogra, District-Darjeeling","16-Jun-2023","1204230","20-Dec-2024"
"32","Normal/Others","NA-Providing drains and gutters for public drainage","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Drainage 215 m & Improvement of Brick Pavement Road by cement concrete Length-215 m; Breadth-2.5 m from Biswaspara to Morolpara Main Road, Sewli GP, Barrackpore-II, N 24 Prgs","16-Jun-2023","650000","NA"
"33","Normal/Others","WS/MP221/2024-2025/1260-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","DARJEELING(DISTRICT MAGISTRATE DARJEELING_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of CC road from Louis Oraon house to Bahuran Mehar house at ORD-II sansad under Upper Bagdogra Gram Panchayat, Bagdogra, District-Darjeeling","16-Jun-2023","462515","28-Aug-2024"
"34","Normal/Others","WS/MP221/2024-2025/1261-Construction of community centers and community halls","West Bengal","PURULIA(DISTRICT MAGISTRATE PURULIA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Community Hall at Village IIoo under Illojargo GP, Jhalda-I Block, District-Purulia.","16-Jun-2023","490000","20-Feb-2025"
"35","Normal/Others","WS/MP221/2023-2024/1262-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","At Rani Rashmoni Sarani (starting from Sonama Briyani House to Bata Bazar) at Ward No. 13, under Konnagar Municipality.","16-Jun-2023","540182","04-Dec-2023"
"36","Normal/Others","WS/MP221/2023-2024/1263-Providing drains and gutters for public drainage","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Open Drainage System at Iswar Mukherjee Lane (Starting from Opposite of HDFC Bank to near Chandi Tala) at Ward No. 13, under Konnagar Municipality","16-Jun-2023","411230","04-Dec-2023"
"37","Normal/Others","WS/MP221/2023-2024/1264-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","West Bengal","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Charitable Dispensary at the 1st Floor Building of Shree Shree Ramakrishna Sarada Mission Trust, Vill-Kapastikuri, P. O. Adityapur, P.S. Santiniketan, Pin– 731204, Birbhum","16-Jun-2023","999959","25-Jan-2024"
"38","Normal/Others","WS/MP221/2023-2024/1266-Construction of rooms and halls in school and colleges","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Room at Kulgachi Ramkrishna Vidyamandir (H.S.), Vill &P.O.–Kulgachi,Block-Krishnagar-I, District-Nadia, Pin - 741161","16-Jun-2023","665365","07-Mar-2024"
"39","Normal/Others","WS/MP221/2023-2024/1271-Purchase of IT systems, including hardware and software for educational purposes","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Upgradation of F. M. Radio, MAKAUT to Internet (Digital) Radio at Maulana Abul Kalam Azad University of Technology, NH-12, Ward No. 8,             P.O. – Simhat, Haringhata, Nadia,","17-Jun-2023","992882","01-Mar-2024"
"40","Normal/Others","WS/MP221/2023-2024/1286-Construction of rooms and halls in school and colleges","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Shri P. Bhattacharya (2017-23) (2017-2023)","Elected MP","Construction of Proposed Building of Boys Students Amenity Centre of Dasarathi Hazra Memorial College, Bhatar, LR Plot No. 289, LR Khatian No.674, JL No. 64, Mouza-Sotkhali, PS-Bhatar,","17-Jun-2023","3100000","17-Oct-2023"
"41","Normal/Others","WS/MP177/2023-2024/1484-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","CC Road Construction (Ward no. 6)","23-Jun-2023","1500000","17-Aug-2023"
"42","Normal/Others","WS/MP177/2023-2024/1486-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","CC Road Construction (Ward No. 20)","23-Jun-2023","1500000","17-Aug-2023"
"43","Normal/Others","WS/MP177/2023-2024/1491-Development of playground","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Play Ground levelling work at primary school (Govt.) Dhanuharpara","23-Jun-2023","1500000","17-Aug-2023"
"44","Normal/Others","WS/MP177/2023-2024/1492-Development of playground","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Play ground levelling work","23-Jun-2023","1500000","13-Sep-2023"
"45","Normal/Others","WS/MP177/2023-2024/1651-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Construction of C.C.Road (Ward No. 12)","26-Jun-2023","1499109","14-Jul-2023"
"46","Normal/Others","WS/MP177/2023-2024/1652-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","Shri K.T.S. Tulsi (2020-26) (2020-2026)","Elected MP","Construction of C.C.Road (Ward No. 11)","26-Jun-2023","1500000","17-Aug-2023"
"47","Normal/Others","WS/MP076/2023-2024/1714-Purchase of IT systems, including hardware and software for educational purposes","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","installation of computers for digital/computer lab - CR college of educations hisar ( govt aided)","28-Jun-2023","484500","02-Feb-2024"
"48","Normal/Others","WS/MP076/2023-2024/1715-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","supply of one water tank for gram panchayat rohnat capacity of 5000ltr with motor fitted with new tyres.","28-Jun-2023","155000","19-Oct-2023"
"49","Normal/Others","WS/MP076/2023-2024/1716-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","ONE WATER TANKER FOR G.P MUNDHAL KALAN CAPACITY 5000 LTRS WITH MOTOR FITTED AND NEW TYERS","28-Jun-2023","155000","19-Oct-2023"
"50","Normal/Others","WS/MP076/2023-2024/1717-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","one  water tanker for G.P WARD NO 8 BHIWANI  CAPACITY 5000 LTRS  WITH MOTORS FITTED WITH NEW TYERS","28-Jun-2023","155000","19-Oct-2023"
"51","Normal/Others","WS/MP076/2023-2024/1746-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Dhigawa shamiyan Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"52","Normal/Others","WS/MP076/2023-2024/1747-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Alloudinpur Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"53","Normal/Others","WS/MP076/2023-2024/1748-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat kurdal Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"54","Normal/Others","WS/MP076/2023-2024/1749-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat  Distt. Bhiwani ( kharkhari Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"55","Normal/Others","WS/MP076/2023-2024/1750-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Singhani Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"56","Normal/Others","WS/MP076/2023-2024/1751-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat  Distt. Bhiwani ( Gothra Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"57","Normal/Others","WS/MP076/2023-2024/1752-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Sohasra Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"58","Normal/Others","WS/MP076/2023-2024/1753-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Behal Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"59","Normal/Others","WS/MP076/2023-2024/1754-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Paju Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"60","Normal/Others","WS/MP076/2023-2024/1755-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Chehar Kalan Distt. Bhiwani Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"61","Normal/Others","WS/MP076/2023-2024/1756-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Mandholi Kalan Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"62","Normal/Others","WS/MP076/2023-2024/1757-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Gokalpura Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"63","Normal/Others","WS/MP076/2023-2024/1758-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Obra Distt. Bhiwani Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"64","Normal/Others","WS/MP076/2023-2024/1759-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Barwa Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"65","Normal/Others","WS/MP076/2023-2024/1760-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Gurera Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"66","Normal/Others","WS/MP076/2023-2024/1765-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Gaindawas Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"67","Normal/Others","WS/MP076/2023-2024/1766-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Kalod Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"68","Normal/Others","WS/MP076/2023-2024/1767-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Dhani Bhakhra  Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"69","Normal/Others","WS/MP076/2023-2024/1768-Purchase of mobile water tankers","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Jhumpa kalan Distt. Bhiwani ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","157000","19-Oct-2023"
"70","Normal/Others","WS/MP076/2023-2024/1804-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Lt.Gen. (Dr.) D. P. Vats (Retd.) (2018-24) (2018-2024)","Elected MP","One water tanker for gram panchyat Chikanwas Distt. Hisar ( Capacity 5000 Liters with motor fitted & new tyers.","29-Jun-2023","150000","02-Aug-2023"
