"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"13335","Normal/Others","WS/MP170/2024-2025/132878-Construction of boundary walls of existing public and community buildings","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri K.R. Suresh Reddy (2020-26) (2020-2026)","Elected MP","Construction of Compound wall to the Government Junior College (North), Opposite Tulja Bhavani Temple.","30-Jun-2024","05-Sep-2024","498668","Physical Inspection"
"13336","Normal/Others","WS/MP082/2024-2025/132886-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Deepak Prakash (2020-26) (2020-2026)","Elected MP","Construction of building for weddings and exclusive public functions in Chandravanshi Dharamshala located in front of Ward No. 29 near Pahari Temple.","01-Jul-2024","24-Sep-2024","1450000","Vendor Identification"
"13337","Normal/Others","WS/MP157/2024-2025/132887-Construction of buildings for training institutions","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Construction of Skill Development Training Centre in Ward No.116 at Doctor Pesant Salai in Chepauk - 2023-24","01-Jul-2024","04-Sep-2024","5000000","Work Completed"
"13338","Normal/Others","WS/MP157/2024-2025/132888-Construction of road under bridge","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Shri Anthiyur P. Selvarasu (2020-26) (2020-2026)","Elected MP","Strengthening the road from Kollampalayam  Nanjai Uthukuli Road to Karukkampalayam A.D.Colony H/o. 46 Pudur (Km.0/0-0/820)","01-Jul-2024","01-Jul-2024","1769978","Physical Inspection"
"13339","Normal/Others","WS/MP098/2024-2025/132890-Construction of community centers and community halls","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Elamaram Kareem (2018-24) (2018-2024)","Elected MP","Construction of Study centre and community hall at Injappuri ward  in Aryanad Grama Panchayat","01-Jul-2024","10-Mar-2025","6070000","Work partially Completed"
"13340","Normal/Others","WS/MP836/2024-2025/132895-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of culvert and road safety wall near Vinod's farm to go to Maurya Basti from Barsot link road of Gram Panchayat Arangi, Robertsganj","01-Jul-2024","12-Aug-2024","995000","Vendor Identification"
"13341","Normal/Others","WS/MP836/2024-2025/132896-Renovation of ponds and lakes","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of ghat on Odoli pond in Gram Panchayat Odoli","01-Jul-2024","12-Aug-2024","995000","Vendor Identification"
"13342","Normal/Others","WS/MP836/2024-2025/132897-Renovation of ponds and lakes","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Ghat construction work on Teera Pond in Gram Panchayat Deori Khurd","01-Jul-2024","12-Aug-2024","995000","Vendor Identification"
"13343","Normal/Others","WS/MP836/2024-2025/132899-Construction of culverts and bridges","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of culvert on Madhupur Rajwaha in front of Ravi Shankar Singh's house in village Takiya Mu Dargah","01-Jul-2024","23-Oct-2024","680000","Vendor Identification"
"13344","Normal/Others","WS/MP836/2024-2025/132900-Improvement of electricity distribution infrastructure","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Electricity extension including 10 poles and 25 KV transformer from Prabhu Maurya's house to Mata Jagdamba temple in Tola Hadahi of village Pakarhat development block Chatra","01-Jul-2024","19-Oct-2024","360000","Physical Inspection"
"13345","Normal/Others","WS/MP836/2024-2025/132901-Installing hand pumps","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Work of installation of bore and hand pump near Rajpati's house in Pakrahiya Basti in Gram Panchayat Kanhari","01-Jul-2024","19-Oct-2024","161000","Vendor Identification"
"13346","Normal/Others","WS/MP836/2024-2025/132904-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of a hall at Ramsurat Malti Intermediate College, Rajgarh, Mirzapur","02-Jul-2024","16-Jul-2024","1000000","Vendor Identification"
"13347","Normal/Others","WS/MP836/2024-2025/132905-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of a hall in Parasnath Singh Shanti Devi Intermediate College, Waradih, chunar, Mirzapur","02-Jul-2024","26-Jul-2024","1000000","Vendor Identification"
"13348","Normal/Others","WS/MP836/2024-2025/132906-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of a hall in Pt. Jwala Prasad Intermediate College, Khoradih, Mirzapur","02-Jul-2024","26-Jul-2024","1000000","Vendor Identification"
"13349","Normal/Others","WS/MP836/2024-2025/132907-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of two teaching rooms with verandah in Mata Shanti Inter College Magrahaan, Chunar Mirzapur","02-Jul-2024","16-Jul-2024","1500000","Vendor Identification"
"13350","Normal/Others","WS/MP836/2024-2025/132908-Construction of rooms and halls in school and colleges","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Construction work of two teaching rooms in Krishak Mahavidyalay, Rajgarh, mirzapur","02-Jul-2024","23-Jul-2024","1500000","Vendor Identification"
"13351","Normal/Others","WS/MP836/2024-2025/132909-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Shobhi Marcha Link Road to Ganesh's house in Gram Sabha Shobhi, mirzapur","02-Jul-2024","16-Jul-2024","994107","Physical Inspection"
"13352","Normal/Others","WS/MP836/2024-2025/132910-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Gram Sabha Shobhi Vishwanath Yadav's house to Ganesh's house","02-Jul-2024","16-Jul-2024","994107","Physical Inspection"
"13353","Normal/Others","WS/MP836/2024-2025/132911-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Bihari's farm to Ramnath's house in Farm Basti of Gram Panchayat Patehra Kalan","02-Jul-2024","16-Jul-2024","994063","Physical Inspection"
"13354","Normal/Others","WS/MP836/2024-2025/132912-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Sharda Sharma's house to Jagge house in Gram Panchayat Kalwari Khurd","02-Jul-2024","16-Jul-2024","994111","Physical Inspection"
"13355","Normal/Others","WS/MP836/2024-2025/132913-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Paras Dubey's house to Lole Baba's house in Gram Panchayat Kalwari Mafi","02-Jul-2024","16-Jul-2024","992654","Physical Inspection"
"13356","Normal/Others","WS/MP836/2024-2025/132914-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","GSB work from Buddhiram's house to Mangal Chauhan's house on the main road in Gram Sabha Tala","02-Jul-2024","16-Jul-2024","994383","Physical Inspection"
"13357","Normal/Others","WS/MP836/2024-2025/132915-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking, including two culverts, from Madihan Ghorawal Road to Guddu Patel's house in Gram Panchayat Kalwari Mafi","02-Jul-2024","16-Jul-2024","993039","Physical Inspection"
"13358","Normal/Others","WS/MP836/2024-2025/132916-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Ajay's house to Jai Hind Patel's house in Gram Panchayat Kundruff","02-Jul-2024","16-Jul-2024","989791","Physical Inspection"
"13359","Normal/Others","WS/MP836/2024-2025/132917-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","nterlocking work from Ram Sagar's house in Gram Raikra to Anganwadi center via primary school","02-Jul-2024","16-Jul-2024","993334","Physical Inspection"
"13360","Normal/Others","WS/MP836/2024-2025/132918-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Mahendra Prasad's house to Shankar Sonkar's house in Gram Sabha Lusa.","02-Jul-2024","16-Jul-2024","992688","Physical Inspection"
"13361","Normal/Others","WS/MP836/2024-2025/132919-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","nterlocking work from the field of Buduk Harijan to the house of Suresh Vishwakarma in Gram Panchayat Daranagar","02-Jul-2024","16-Jul-2024","987867","Physical Inspection"
"13362","Normal/Others","WS/MP836/2024-2025/132920-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Nanhku's house to drain in Gram Mamri","02-Jul-2024","16-Jul-2024","1109319","Physical Inspection"
"13363","Normal/Others","WS/MP836/2024-2025/132921-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Interlocking work from Navneet Chamar's house to Om Shankar and Sudarshan Singh's house in Gram Sabha Mamari","02-Jul-2024","16-Jul-2024","695516","Physical Inspection"
"13364","Normal/Others","WS/MP836/2024-2025/132922-Improvement of electricity distribution infrastructure","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Electricity extension work through Pradeep Mishra's tube well till Vijay Kumar Soni's house in village Maladharpur","02-Jul-2024","06-Aug-2024","200000","Vendor Identification"
"13365","Normal/Others","WS/MP836/2024-2025/132923-Improvement of electricity distribution infrastructure","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","Electricity extension from Vivek Patel's farm to Kanhaiya's house and Radhe Harijan's house in Gram Panchayat Shobhi.","02-Jul-2024","06-Aug-2024","250000","Vendor Identification"
"13366","Normal/Others","WS/MP836/2024-2025/132924-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Ram Shakal (2018-24) (2018-2024)","Nominated MP","GSB work from Pitchroad to Triloki Maurya's house in Gram Sabha Karonda","02-Jul-2024","16-Jul-2024","993387","Physical Inspection"
"13367","Normal/Others","WS/MP093/2024-2025/132925-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","Davanagere(DEPUTY COMMISSIONER DAUANAGERE_IDA)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","Vasana village S Gadegeppa home to Masti kengappa home towards kotehal manjappa to Markandeshwara temple Street CC road","02-Jul-2024","20-Sep-2024","2500000","Vendor Identification"
"13368","Normal/Others","WS/MP136/2024-2025/132932-Setting up of laboratories","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Establishment of a Drone Centre of Excellence at Govt. High School, Sagada","03-Jul-2024","19-Nov-2024","500000","Physical Inspection"
"13369","Normal/Others","WS/MP136/2024-2025/132933-Setting up of laboratories","Odisha","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","Shri Sujeet Kumar (2020-24) (2020-2024)","Elected MP","Establishment of a Drone Centre of Excellence at Govt. High School, Bhatangpadar","03-Jul-2024","19-Nov-2024","500000","Physical Inspection"
"13370","Normal/Others","WS/MP298/2025-2026/132934-Construction of rooms and halls in school and colleges","Haryana","PANIPAT(DC CUM NODAL OFFICER MPLADS)","Shri Krishan Lal Panwar (2022-24) (2022-2024)","Elected MP","Const. of Hall in Sanskriti Public School.","03-Jul-2024","30-Jan-2026","1100000","Vendor Identification"
"13371","Normal/Others","WS/MP025/2024-2025/132935-Construction of public staircase/ stair ghat for public convenience","Andhra Pradesh","Bapatla(DISTRICT COLLECTOR BAPATLA_IDA)","Shri Venkataramana Rao Mopidevi (2020-24) (2020-2024)","Elected MP","construction of cattle ramp at Km0.850 L/S bank on BM drain","03-Jul-2024","30-Jul-2024","516598","Physical Inspection"
"13372","Normal/Others","WS/MP002/2024-2025/132957-Purchase of furniture and fixtures for educational purposes","Bihar","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Shri Rakesh Sinha (2018-24) (2018-2024)","Nominated MP","SUPPLY OF DESK AND BENCH TO GOVERNMENT HIGHER SECONDARY SCHOOL, THIRUNINRAVUR,TIRUVALLUR Dist. 79 SEAT  (79× Rs 12500)","03-Jul-2024","16-Sep-2024","987500","Physical Inspection"
"13373","Normal/Others","WS/MP837/2024-2025/132962-Purchase of sports equipment","Gujarat","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Supply of sports equipment to Government Higher Secondary School, Athiyur Thirukai, District Villupuram","04-Jul-2024","10-Oct-2024","990000","Physical Inspection"
"13374","Normal/Others","WS/MP837/2024-2025/132963-Purchase of sports equipment","Gujarat","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Supply of sports equipment to Government higher secondary school Marakanam, Villupuram district","04-Jul-2024","10-Oct-2024","990000","Physical Inspection"
"13375","Normal/Others","WS/MP837/2024-2025/132964-Purchase of sports equipment","Gujarat","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Supply of sports equipments to Government higher secondary school Manakuppam, Villupuram district","04-Jul-2024","10-Oct-2024","990000","Physical Inspection"
"13376","Normal/Others","WS/MP837/2024-2025/132965-Purchase of sports equipment","Gujarat","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Supply of sports equipments to Government higher secondary school Melmalayanur, Villupuram district","04-Jul-2024","10-Oct-2024","990000","Physical Inspection"
"13377","Normal/Others","WS/MP837/2024-2025/132966-Purchase of sports equipment","Gujarat","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Dr. Sonal Mansingh (2018-24) (2018-2024)","Nominated MP","Supply of Sports equipment to Government Higher Secondary School, Kottakuppam, Villupuram district","04-Jul-2024","10-Oct-2024","990000","Physical Inspection"
"13378","Normal/Others","WS/MP160/2024-2025/132967-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","Drainage for Public gutters works (Remove damaged gutter and lay new ones). From Theradi Street , upto Korakanathar temple.","04-Jul-2024","05-Jul-2024","1000000","Physical Inspection"
"13379","Normal/Others","WS/MP160/2024-2025/132968-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","Drainage Gutter works - Remove old and lay new ones.  From Korakanathar Temple upto Chelladurai Fertilizer company house.","04-Jul-2024","05-Jul-2024","1000000","Physical Inspection"
"13380","Normal/Others","WS/MP160/2024-2025/132969-Providing drains and gutters for public drainage","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","Drainage gutter works - Remove old and lay new ones.  From Chelladurai Fertilizer company house upto Vandam Nagar.","04-Jul-2024","05-Jul-2024","1000000","Physical Inspection"
"13381","Normal/Others","WS/MP160/2024-2025/132970-Construction of rooms and halls in school and colleges","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri G.K. Vasan (2020-26) (2020-2026)","Elected MP","Thangachi madam - Saint Yaagapar Higher Sec School - Additional Class room.","04-Jul-2024","04-Jul-2024","999139","Physical Inspection"
"13382","Normal/Others","WS/MP093/2024-2025/132975-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD BOTE MUTTANNA HOME TO UDDESANKAPPA HOME","04-Jul-2024","24-Sep-2024","500000","Work Completed"
"13383","Normal/Others","WS/MP093/2024-2025/132976-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD LAKKAPPA HOME TO PANI PURI MANJANNA HOME","04-Jul-2024","24-Sep-2024","500000","Work Completed"
"13384","Normal/Others","WS/MP093/2024-2025/132977-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD AJJAPPA HOME TO BUGARI MANJANNA HOME","04-Jul-2024","24-Sep-2024","500000","Work Completed"
"13385","Normal/Others","WS/MP093/2024-2025/132978-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Narayana Koragappa (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF CC ROAD SUDHAMMA HOME TO NAGESH HOME","04-Jul-2024","24-Sep-2024","500000","Work Completed"
"13386","Normal/Others","WS/MP154/2024-2025/132980-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing  new solar light at 8th ward ellai mariyamman temple near in jalakandapuram","05-Jul-2024","19-Dec-2024","745758","Physical Inspection"
"13387","Normal/Others","WS/MP154/2024-2025/132981-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar high mass light at sandhaipettai near in jalakandapuram","05-Jul-2024","19-Dec-2024","745758","Physical Inspection"
"13388","Normal/Others","WS/MP154/2024-2025/132982-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at savuriyur bus stand near side at avadattur panchayat in nangavalli union","05-Jul-2024","17-Oct-2024","749300","Physical Inspection"
"13389","Normal/Others","WS/MP154/2024-2025/132983-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at chinnagoundanpatti school and mariyamman temple near soorapalli panchayat in nangavalli union","05-Jul-2024","17-Oct-2024","749300","Physical Inspection"
"13390","Normal/Others","WS/MP154/2024-2025/132984-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at avadattur panchayat ration shop gounder street mariyamman temple near side in nanagavalli union","05-Jul-2024","17-Oct-2024","749300","Physical Inspection"
"13391","Normal/Others","WS/MP154/2024-2025/132985-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at avadattur kattinayakanpatti school and mariyamman temple temple near side  bus stop in nangavalli union","05-Jul-2024","17-Oct-2024","749300","Physical Inspection"
"13392","Normal/Others","WS/MP154/2024-2025/132986-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new high mass light at vambaneri panchayat kaspa near in edappadi union","05-Jul-2024","09-Jan-2025","750000","Physical Inspection"
"13393","Normal/Others","WS/MP154/2024-2025/132989-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new high mass light at rakkipatti panchayat pudhupalayam school near in veerapandi union","05-Jul-2024","08-Jan-2025","425000","Physical Inspection"
"13394","Normal/Others","WS/MP154/2024-2025/132990-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new high mass light at rakkipatti coloney near side at rakkipatti panchayat in veerapandi union","05-Jul-2024","08-Jan-2025","425000","Physical Inspection"
"13395","Normal/Others","WS/MP154/2024-2025/132991-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at sokkanathar temple near side in amarakundhi panchayat union","05-Jul-2024","17-Oct-2024","750000","Physical Inspection"
"13396","Normal/Others","WS/MP154/2024-2025/132992-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","prviding new  solar LED light at periyaboodhanatchi temple near side in amarakundhi panchayat union","05-Jul-2024","17-Oct-2024","750000","Physical Inspection"
"13397","Normal/Others","WS/MP154/2024-2025/132993-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at perumal temple near side in mallikuttai panchayat union","05-Jul-2024","17-Oct-2024","750000","Physical Inspection"
"13398","Normal/Others","WS/MP154/2024-2025/132994-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","providing new solar LED light at fox coloney street near in arurpatti panchayat","05-Jul-2024","17-Oct-2024","750000","Physical Inspection"
"13399","Normal/Others","WS/MP154/2024-2025/132996-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new solar LED light at mallikundam division road near side at  mallikundam panchayat in mecheri union","05-Jul-2024","25-Oct-2024","750000","Physical Inspection"
"13400","Normal/Others","WS/MP154/2024-2025/133010-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat  thalaikadu village near side in kolathur union","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13401","Normal/Others","WS/MP154/2024-2025/133011-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat at uralmarathur village near side in kolathur union","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13402","Normal/Others","WS/MP154/2024-2025/133012-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light palamalai panchayat thimmampathi school near side in kolathur union","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13403","Normal/Others","WS/MP154/2024-2025/133013-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat thuvarankadu village near side in kolathur","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13404","Normal/Others","WS/MP154/2024-2025/133014-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat namankadu near side in kolathur union","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13405","Normal/Others","WS/MP154/2024-2025/133015-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat  erukalangadu near side in kolathur union","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13406","Normal/Others","WS/MP154/2024-2025/133016-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat sinkarathoppu village near side in  kolathur","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
"13407","Normal/Others","WS/MP154/2024-2025/133018-Lighting of public spaces","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri N. Chandrasegharan (2019-25) (2019-2025)","Elected MP","Providing new high mass light at palamalai panchayat kemmampatti periyakadu near side in kolathur","05-Jul-2024","24-Oct-2024","425000","Physical Inspection"
